amplitude,location,response_location,reaction_time
3.12,15,15,0.4836
3.12,11,11,0.6135
3.12,1,1,0.4242
3.12,10,10,0.5264
3.12,1,1,0.5299
3.12,0,0,0.3665
3.12,2,2,0.4467
3.12,15,15,0.4518
3.12,1,1,0.5257
3.12,0,14,0.5842
3.12,10,0,0.5966
3.12,9,9,0.5564
3.12,0,0,0.6101
3.12,0,0,0.479
3.12,15,15,0.5102
3.12,10,10,0.64
3.12,9,9,0.6303
3.12,0,0,0.5021
3.12,9,9,0.8662
3.12,0,0,0.838
3.12,14,14,0.5046
3.12,0,0,0.3541
3.12,11,11,0.6726
3.12,0,0,0.3185
3.12,0,0,0.2989
3.12,0,0,0.3842
3.12,9,9,0.5197
3.12,0,0,0.4891
3.12,0,0,0.2405
3.12,0,0,0.5381
3.12,1,1,0.4077
3.12,0,11,0.862
3.12,11,11,0.4427
3.12,0,9,0.5783
3.12,1,1,0.3807
3.12,2,0,0.4737
3.12,1,1,0.4118
3.12,0,0,0.6157
3.12,0,0,0.4947
3.12,0,14,0.4782
3.12,0,0,0.3381
3.12,15,15,0.3943
3.12,0,0,0.2443
3.12,0,0,0.5022
3.12,0,14,0.6521
3.12,2,2,0.5285
3.12,9,0,0.336
3.12,2,2,0.4996
3.12,0,0,0.4159
3.12,0,0,0.2966
3.12,0,0,0.5081
3.12,0,0,0.3723
3.12,15,15,0.4028
3.12,0,0,0.3019
3.12,0,0,0.3868
3.12,11,11,0.5396
3.12,2,2,0.4974
3.12,14,14,0.4676
3.12,10,10,0.4387
3.12,0,0,0.5759
3.12,1,1,0.4541
3.12,0,0,0.3907
3.12,10,10,0.4891
3.12,0,0,0.8669
3.12,10,10,0.5085
3.12,1,1,0.5064
3.12,0,0,0.5409
3.12,15,15,0.4824
3.12,1,1,0.4824
3.12,10,10,0.5181
3.12,0,0,0.2466
3.12,0,0,0.3527
3.12,0,0,0.2899
3.12,2,2,0.4449
3.12,0,0,0.4925
3.12,0,0,0.5312
3.12,0,0,0.3739
3.12,2,2,0.4765
3.12,11,11,0.4695
3.12,0,11,0.8875
3.12,0,0,0.2994
3.12,1,1,0.4444
3.12,0,0,0.2758
3.12,2,2,0.4903
3.12,1,1,0.4476
3.12,0,0,0.3653
3.12,14,14,0.4902
3.12,0,0,0.4324
3.12,10,10,0.4723
3.12,10,10,0.6416
3.12,14,14,0.4949
3.12,0,0,0.5262
3.12,0,14,0.6199
3.12,0,0,0.3776
3.12,10,10,0.3474
3.12,10,10,0.6763
3.12,0,0,0.4118
3.12,10,10,0.5755
3.12,0,0,0.3389
3.12,0,0,0.4319
3.12,0,0,0.559
3.12,0,0,0.4043
3.12,0,0,0.3227
3.12,11,11,0.4385
3.12,0,0,0.33
3.12,11,11,0.5199
3.12,2,2,0.5159
3.12,9,9,0.4771
3.12,0,0,0.2681
3.12,0,0,0.3229
3.12,0,0,0.4586
3.12,0,0,0.2984
3.12,11,11,0.4283
3.12,0,0,0.3106
3.12,9,0,0.448
3.12,0,0,0.4822
3.12,14,14,0.5418
3.12,9,0,0.5096
3.12,1,1,0.446
3.12,14,14,0.4502
3.12,0,0,0.3176
3.12,0,0,0.4824
3.12,0,0,0.2781
3.12,14,14,0.5107
3.12,15,0,0.3585
3.12,9,9,0.5195
3.12,9,9,0.3977
3.12,0,0,0.3199
3.12,0,0,0.5578
3.12,0,14,0.6875
3.12,14,14,0.538
3.12,15,15,0.4799
3.12,0,9,0.6965
3.12,0,0,0.3112
3.12,9,0,0.3526
3.12,0,14,0.7421
3.12,9,9,0.5487
3.12,11,11,0.3669
3.12,2,2,0.4728
3.12,0,0,0.6143
3.12,9,9,0.7345
3.12,9,9,0.484
3.12,11,11,0.5598
3.12,15,15,0.525
3.12,0,0,0.2841
3.12,0,0,0.4886
3.12,11,11,0.4312
3.12,0,0,0.43
3.12,11,11,0.4623
3.12,0,0,0.3018
3.12,11,11,0.4492
3.12,0,0,0.2504
3.12,0,0,0.3
3.12,0,0,0.4092
3.12,0,0,1.193
3.12,11,11,0.4826
3.12,1,1,0.4361
3.12,11,11,0.4636
3.12,9,9,0.4957
3.12,11,11,0.4355
3.12,0,0,0.2921
3.12,0,0,0.2904
3.12,10,10,0.7079
3.12,15,15,0.5043
3.12,14,14,0.5219
3.12,15,15,0.4376
3.12,0,0,0.3318
3.12,9,0,0.3937
3.12,0,1,0.6158
3.12,0,0,0.3423
3.12,10,10,0.4878
3.12,11,11,0.4739
3.12,0,0,0.4475
3.12,15,15,0.5102
3.12,10,10,0.4883
3.12,0,0,0.3779
3.12,15,15,0.5037
3.12,14,14,0.5743
3.12,0,0,0.824
3.12,15,15,0.4919
3.12,0,0,0.3839
3.12,2,2,0.4908
3.12,0,0,0.5322
3.12,0,0,0.3644
3.12,15,15,0.466
3.12,10,0,0.434
3.12,0,0,0.3566
3.12,14,14,0.5106
3.12,10,10,0.4539
3.12,10,10,0.523
3.12,0,0,0.3709
3.12,0,0,0.2907
3.12,0,0,0.488
3.12,0,0,0.3285
3.12,11,11,0.4463
3.12,0,0,0.3722
3.12,2,2,0.5672
3.12,0,0,0.3795
3.12,11,11,0.4279
3.12,0,0,0.494
3.12,2,2,0.4738
3.12,0,0,0.2889
3.12,15,15,0.4072
3.12,2,2,0.4764
3.12,0,0,0.3897
3.12,0,0,0.3412
3.12,14,14,0.4821
3.12,0,0,0.4945
3.12,11,0,0.5795
3.12,0,0,0.3869
3.12,9,9,0.484
3.12,10,10,0.5458
3.12,0,0,0.3757
3.12,14,14,0.5302
3.12,9,9,0.4931
3.12,0,0,0.6059
3.12,15,15,0.4681
3.12,9,9,0.4782
3.12,0,0,0.3287
3.12,11,11,0.3807
3.12,15,15,0.4586
3.12,0,0,0.4386
3.12,0,0,0.5154
3.12,0,0,0.372
3.12,9,9,0.4487
3.12,14,14,0.5382
3.12,1,1,0.4543
3.12,15,0,0.456
3.12,9,0,0.5084
3.12,10,10,0.4348
3.12,0,0,0.4456
3.12,0,0,0.3427
3.12,0,0,0.3547
3.12,10,0,0.5182
3.12,0,0,0.4864
3.12,9,9,0.584
3.12,1,1,0.438
3.12,0,0,0.3485
3.12,0,0,0.4272
3.12,0,0,0.4464
3.12,14,14,0.4677
3.12,15,15,0.5048
3.12,0,0,0.5607
3.12,0,0,0.5081
3.12,11,11,0.4403
3.12,0,0,0.3022
3.12,0,0,0.3729
3.12,2,2,0.6021
3.12,10,10,0.5645
3.12,11,11,0.8124
3.12,14,14,0.4182
3.12,0,0,0.4504
3.12,0,0,0.3504
3.12,0,0,0.3365
3.12,0,0,0.3568
3.12,15,0,0.3804
3.12,2,2,0.5518
3.12,0,0,0.3647
3.12,15,15,0.5484
3.12,0,0,0.3767
3.12,1,1,0.4624
3.12,0,0,0.2828
3.12,1,1,0.4878
3.12,0,14,0.7197
3.12,0,0,0.2929
3.12,0,0,0.5381
3.12,0,0,0.3859
3.12,11,11,0.4927
3.12,0,0,0.4648
3.12,1,1,0.4189
3.12,11,11,0.4261
3.12,14,14,0.5717
3.12,0,0,0.3666
3.12,10,10,0.4468
3.12,15,15,0.5164
3.12,15,11,0.7878
3.12,10,10,0.4521
3.12,0,0,0.3654
3.12,2,2,0.6458
3.12,0,0,0.4914
3.12,0,0,0.3179
3.12,9,9,0.4921
3.12,0,11,1.1175
3.12,11,11,0.4839
3.12,10,10,0.5039
3.12,14,14,0.4984
3.12,0,0,0.5545
3.12,0,0,0.3766
3.12,0,0,0.3644
3.12,11,11,0.4604
3.12,1,1,0.4057
3.12,14,14,0.5044
3.12,0,0,0.3316
3.12,0,0,0.2686
3.12,1,1,0.5927
3.12,9,0,0.5623
3.12,0,0,0.3378
3.12,0,0,0.3485
3.12,0,0,0.3494
3.12,11,11,0.4601
3.12,0,0,0.4709
3.12,11,0,0.4423
3.12,14,14,0.5539
3.12,0,0,0.9262
3.12,2,2,0.4844
3.12,0,15,0.6185
3.12,0,0,0.4137
3.12,15,15,0.5361
3.12,9,9,0.4622
3.12,11,11,0.462
3.12,0,0,0.3827
3.12,10,0,0.3225
3.12,2,2,0.5481
3.12,14,0,0.5048
3.12,0,14,0.4798
3.12,15,0,0.4899
3.12,10,0,0.7384
3.12,1,1,0.4977
3.12,0,0,0.5623
3.12,14,14,0.5315
3.12,0,0,0.2508
3.12,0,0,0.2955
3.12,10,10,0.4957
3.12,2,2,0.5186
3.12,10,0,0.4077
3.12,2,0,0.3327
3.12,15,15,0.5166
3.12,0,0,0.5544
3.12,0,0,0.3782
3.12,11,11,0.368
3.12,0,0,0.6607
3.12,9,9,0.4326
3.12,0,0,0.3517
3.12,0,0,0.2963
3.12,0,0,0.3472
3.12,14,14,0.4698
3.12,0,0,0.3066
3.12,9,9,0.4561
3.12,15,0,0.4469
3.12,0,0,0.2826
3.12,15,15,0.5083
3.12,9,9,0.5819
3.12,10,10,0.4306
3.12,0,14,0.5349
3.12,9,0,0.4104
3.12,0,0,0.361
3.12,0,0,0.4569
3.12,0,0,0.4983
3.12,15,15,0.4308
3.12,11,11,0.4505
3.12,15,0,0.6915
3.12,9,9,0.5624
3.12,14,14,0.4189
3.12,15,15,0.4963
3.12,15,0,0.4833
3.12,0,0,0.5676
3.12,10,10,0.5059
3.12,14,14,0.4657
3.12,15,15,0.408
3.12,10,10,0.5584
3.12,0,15,0.6245
3.12,0,0,0.2618
3.12,9,9,0.4567
3.12,15,15,0.6237
3.12,15,15,0.5119
3.12,0,0,0.3504
3.12,0,0,0.8493
3.12,14,14,0.4991
3.12,0,0,0.6101
3.12,14,14,0.4382
3.12,10,0,0.678
3.12,1,1,0.4273
3.12,11,0,0.2984
3.12,0,0,0.5185
3.12,0,14,0.7604
3.12,9,9,0.4976
3.12,14,14,0.4782
3.12,0,0,0.3342
3.12,9,9,0.6065
3.12,0,9,0.4919
3.12,10,10,0.6586
3.12,0,0,0.7103
3.12,0,0,0.294
3.12,0,9,0.4844
3.12,0,0,0.3005
