session,amplitude,location,response_location,reaction_time
2,3.12,15,15,0.5105
2,3.12,0,0,0.3663
2,3.12,0,17,0.8417
2,3.12,16,0,0.4886
2,3.12,0,0,0.6782
2,3.12,0,0,0.464
2,3.12,1,1,0.2939
2,3.12,19,0,0.4386
2,3.12,0,0,0.5062
2,3.12,0,0,0.4341
2,3.12,8,8,0.6708
2,3.12,0,10,0.626
3,3.12,0,0,0.3366
3,3.12,19,19,1.3096
3,3.12,0,0,0.331
3,3.12,3,0,0.4344
3,3.12,11,11,0.5525
3,3.12,18,0,0.4807
3,3.12,0,0,0.3529
3,3.12,0,0,0.4016
3,3.12,0,0,0.3363
3,3.12,0,0,0.4399
3,3.12,0,0,0.8062
3,3.12,0,0,0.4823
3,3.12,16,16,0.6186
3,3.12,0,0,0.3385
3,3.12,0,0,0.4183
3,3.12,10,0,0.5943
3,3.12,16,16,0.8444
3,3.12,7,0,0.3726
3,3.12,1,1,0.5082
3,3.12,0,17,1.0179
4,3.12,0,0,0.4043
4,3.12,18,0,0.3463
4,3.12,13,13,0.7101
4,3.12,14,0,0.488
4,3.12,2,2,0.587
4,3.12,0,0,0.4343
4,3.12,13,13,0.7086
4,3.12,0,0,0.352
4,3.12,0,0,0.5959
4,3.12,13,13,0.5484
4,3.12,3,0,0.3998
4,3.12,0,0,0.3919
4,3.12,18,18,0.6638
4,3.12,0,0,0.4845
4,3.12,2,2,0.6845
4,3.12,13,13,0.6022
4,3.12,16,0,0.3507
4,3.12,0,0,0.5367
4,3.12,0,0,0.4561
4,3.12,1,0,0.4022
1,3.12,2,0,1.9939
1,3.12,12,12,0.5901
1,3.12,0,9,0.8451
1,3.12,0,11,0.8285
1,3.12,7,0,0.9485
1,3.12,5,5,0.5505
1,3.12,0,0,0.3599
1,3.12,5,5,0.5949
1,3.12,15,15,0.4182
1,3.12,1,1,0.3161
1,3.12,0,0,0.4159
1,3.12,13,13,0.7721
1,3.12,0,0,0.3806
1,3.12,0,0,0.5237
1,3.12,0,0,0.3527
1,3.12,10,10,0.4445
1,3.12,18,0,0.397
1,3.12,17,17,0.7602
1,3.12,1,0,0.3884
1,3.12,0,0,0.3918
2,3.12,3,0,0.3676
2,3.12,4,4,0.5956
2,3.12,16,0,0.4923
2,3.12,4,4,0.5265
2,3.12,18,0,0.5238
2,3.12,0,0,0.3641
2,3.12,19,0,0.3364
2,3.12,0,0,0.8718
2,3.12,13,13,0.8936
2,3.12,15,15,0.4081
2,3.12,3,0,0.3499
2,3.12,14,14,0.7024
2,3.12,0,0,0.4738
2,3.12,16,0,0.6462
2,3.12,0,0,0.3343
2,3.12,0,0,0.3048
2,3.12,11,11,0.6323
2,3.12,0,0,0.3047
2,3.12,0,0,0.4752
2,3.12,0,11,0.6865
3,3.12,17,17,0.6381
3,3.12,4,0,0.399
3,3.12,0,0,0.3425
3,3.12,2,2,0.5257
3,3.12,0,0,0.3302
3,3.12,0,0,0.3959
3,3.12,0,0,0.4958
3,3.12,5,5,0.6996
3,3.12,15,15,0.4667
3,3.12,19,19,0.6956
3,3.12,0,0,0.3757
3,3.12,0,0,0.4885
3,3.12,1,1,0.4724
3,3.12,0,0,0.3389
3,3.12,0,0,0.3746
3,3.12,0,0,0.4537
3,3.12,4,0,0.4139
3,3.12,6,19,1.0673
3,3.12,0,0,0.5643
3,3.12,0,14,0.7779
4,3.12,11,11,0.8145
4,3.12,0,0,0.8435
4,3.12,0,0,0.3224
4,3.12,4,14,0.8459
4,3.12,18,13,0.5864
4,3.12,3,0,0.3527
4,3.12,0,0,0.2841
4,3.12,19,0,0.2938
4,3.12,0,0,0.4042
4,3.12,0,0,0.309
4,3.12,1,19,0.7744
4,3.12,10,0,0.8595
4,3.12,8,0,0.3723
4,3.12,12,19,0.7119
4,3.12,19,0,0.7579
4,3.12,0,0,0.6022
4,3.12,10,10,0.6523
4,3.12,0,0,0.3903
4,3.12,0,0,0.4197
4,3.12,7,0,0.3032
1,3.12,0,0,0.5266
1,3.12,18,0,0.3764
1,3.12,0,11,0.818
1,3.12,0,9,0.5502
1,3.12,18,0,0.4426
1,3.12,0,0,0.532
1,3.12,2,2,0.5384
1,3.12,0,0,0.5204
1,3.12,17,0,0.4441
1,3.12,16,15,0.6484
1,3.12,1,1,0.327
1,3.12,5,0,0.6303
1,3.12,0,0,0.5257
1,3.12,0,0,0.4106
1,3.12,16,0,0.2999
1,3.12,0,1,0.2823
1,3.12,0,0,0.4238
1,3.12,11,11,0.7332
1,3.12,0,0,0.4062
1,3.12,12,0,0.6337
2,3.12,0,10,0.8702
2,3.12,10,0,0.9538
2,3.12,0,0,0.8224
2,3.12,0,0,0.3751
2,3.12,0,0,0.352
2,3.12,14,14,0.696
2,3.12,13,13,0.755
2,3.12,15,15,0.5019
2,3.12,3,0,0.2702
2,3.12,0,0,0.3436
2,3.12,5,14,0.8126
2,3.12,0,0,0.3979
2,3.12,0,0,0.364
2,3.12,1,1,0.3243
2,3.12,3,0,0.499
2,3.12,14,14,0.5606
2,3.12,0,0,0.3664
2,3.12,0,1,0.5278
2,3.12,9,0,1.1073
2,3.12,0,0,0.4542
3,3.12,0,0,0.418
3,3.12,0,15,0.7102
3,3.12,0,0,0.3403
3,3.12,0,0,0.4238
3,3.12,0,0,0.4164
3,3.12,0,0,0.632
3,3.12,1,1,0.7062
3,3.12,5,14,0.802
3,3.12,0,0,0.302
3,3.12,8,0,0.8451
3,3.12,19,19,0.9807
3,3.12,0,0,0.2865
3,3.12,6,18,0.9343
3,3.12,0,0,0.419
3,3.12,4,4,0.6169
3,3.12,0,13,0.6141
3,3.12,0,0,0.5526
3,3.12,0,9,0.6482
3,3.12,14,14,0.6281
3,3.12,0,0,0.486
4,3.12,0,0,0.7383
4,3.12,7,0,0.3401
4,3.12,0,0,0.3942
4,3.12,15,0,0.4059
4,3.12,3,3,0.6998
4,3.12,15,15,0.6095
4,3.12,2,2,0.6256
4,3.12,0,0,0.4562
4,3.12,5,0,0.3481
4,3.12,6,0,0.4744
4,3.12,0,0,0.3245
4,3.12,0,0,0.2805
4,3.12,12,0,0.3001
4,3.12,0,0,0.2827
4,3.12,0,0,0.4318
4,3.12,0,6,0.912
4,3.12,19,19,0.653
4,3.12,0,0,0.4401
4,3.12,16,0,0.4365
4,3.12,0,0,0.556
1,3.12,13,0,0.4466
1,3.12,0,0,0.3981
1,3.12,5,5,0.7168
1,3.12,0,0,0.8558
1,3.12,2,2,0.6562
1,3.12,14,0,0.5498
1,3.12,10,0,0.4185
1,3.12,0,1,0.5609
1,3.12,12,0,0.5764
1,3.12,17,0,0.4452
1,3.12,5,5,0.8176
1,3.12,14,0,0.6425
1,3.12,17,0,0.4401
1,3.12,1,1,0.2603
1,3.12,17,17,0.8158
1,3.12,12,12,0.7483
1,3.12,0,1,0.4462
1,3.12,4,4,0.6058
1,3.12,0,0,0.3162
1,3.12,0,18,0.8426
2,3.12,0,0,0.6798
2,3.12,7,0,0.4771
2,3.12,0,0,1.0249
2,3.12,19,0,0.5758
2,3.12,3,3,0.6964
2,3.12,0,0,0.421
2,3.12,0,0,0.3082
2,3.12,5,5,1.2706
2,3.12,17,0,1.218
2,3.12,0,0,0.3037
2,3.12,13,0,0.9782
2,3.12,9,9,0.6632
2,3.12,0,0,0.3782
2,3.12,0,0,0.37
2,3.12,4,4,0.7742
2,3.12,6,0,0.3678
2,3.12,12,1,1.0741
2,3.12,0,0,0.6219
2,3.12,0,0,1.1126
2,3.12,0,0,0.5465
3,3.12,8,0,0.4569
3,3.12,0,0,0.366
3,3.12,0,0,0.8726
3,3.12,15,15,0.5376
3,3.12,13,13,0.4866
3,3.12,17,17,0.5839
3,3.12,11,0,0.7456
3,3.12,0,0,0.5541
3,3.12,4,4,0.8919
3,3.12,0,0,0.3548
3,3.12,4,14,0.8596
3,3.12,10,10,0.6043
3,3.12,19,19,0.6839
3,3.12,18,0,0.4169
3,3.12,14,14,0.5904
3,3.12,17,0,0.4482
3,3.12,7,0,0.3461
