session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,9.0,0.11743,-0.05062,1.32281,1,1,0.1986
1,9.0,0.12596,-0.00315,0.92653,1,1,0.2815
1,9.0,0.124,-0.00443,7.10064,1,1,0.2448
1,15.0,0.15638,0.09901,1.40997,1,1,0.2684
1,15.0,0.16352,-0.20175,0.97894,0,0,0.2659
1,15.0,0.19775,-0.04065,1.30434,0,0,0.186
1,15.0,0.17247,-0.09994,1.10705,0,0,0.2414
1,15.0,0.13762,0.06595,0.95315,0,0,0.2081
1,15.0,0.16751,0.03689,1.33227,1,1,0.2155
1,15.0,0.20567,-0.0473,0.81753,1,0,0.2546
1,15.0,0.17082,-0.07221,1.63638,1,1,0.1566
1,15.0,0.123,0.0964,1.02372,1,0,0.2929
1,15.0,0.15352,-0.02117,1.21221,1,1,0.2362
1,15.0,0.14707,0.06217,0.79826,1,1,0.171
1,15.0,0.13817,0.02198,1.55947,1,1,0.1693
1,15.0,0.17112,-0.13415,1.83427,0,0,0.233
1,15.0,0.1404,-0.03513,1.90123,1,1,0.2078
1,15.0,0.17268,-0.02709,1.03414,0,0,0.1986
1,15.0,0.12168,0.20347,1.53461,1,1,0.2004
1,15.0,0.16042,0.10836,0.82585,0,0,0.1487
1,15.0,0.1782,0.0541,0.92987,0,0,0.4193
1,15.0,0.17589,0.06609,1.04191,0,1,0.2188
1,15.0,0.18183,-0.06174,1.11366,0,0,0.388
1,15.0,0.17013,0.10105,0.85715,0,0,0.4092
1,15.0,0.13887,0.08579,1.19512,1,1,0.3043
1,15.0,0.13306,-0.12293,1.00503,1,0,0.167
1,15.0,0.16159,-0.02414,2.41298,0,0,0.2959
1,15.0,0.11946,0.20667,1.17193,0,0,0.0853
1,15.0,0.16143,0.08085,1.15435,1,0,0.1722
1,15.0,0.17463,-0.07689,1.1001,1,0,0.3121
1,15.0,0.11472,-0.02097,1.24396,0,0,0.4356
1,15.0,0.15003,0.05884,0.75297,0,0,0.3856
1,15.0,0.15209,0.05703,0.83219,1,1,0.4997
1,15.0,0.16709,0.00626,1.12461,1,1,0.357
